"feed_timestamp","latitude","longitude","speed"
2017-01-04 13:11:49.5,51.1685804,-0.0075211,17.93
2017-01-04 13:11:50.5,51.1687387,-0.0075116,17.62
2017-01-04 13:11:51.5,51.1688994,-0.0075042,17.87
2017-01-04 13:11:52.5,51.1690592,-0.0075018,17.77
2017-01-04 13:11:53.5,51.1692174,-0.0074924,17.6
2017-01-04 13:11:54.5,51.1693777,-0.0074808,17.85
2017-01-04 13:11:55.5,51.1695326,-0.0074652,17.25
2017-01-04 13:11:56.5,51.1696892,-0.0074604,17.42
2017-01-04 13:11:57.5,51.1698429,-0.0074596,17.09
2017-01-04 13:11:58.5,51.1699934,-0.0074601,16.73
2017-01-04 13:11:59.5,51.1701434,-0.0074592,16.68
2017-01-04 13:12:00.5,51.1702879,-0.0074584,16.07
2017-01-04 13:12:01.5,51.1704258,-0.0074579,15.33
2017-01-04 13:12:02.5,51.1705601,-0.0074611,14.94
2017-01-04 13:12:03.5,51.1706898,-0.0074736,14.44
2017-01-04 13:12:04.5,51.1708136,-0.0075059,13.95
2017-01-04 13:12:05.5,51.1709299,-0.0075566,13.41
2017-01-04 13:12:06.5,51.1710329,-0.0076333,13.03
2017-01-04 13:12:07.5,51.1711359,-0.0077099,12.64
